,patent_id,date,abstract,title,cpc_list
71,5621789,1997-04-15," A system for integrating a plurality of call center agent subsystem modules to assist a call center agent in efficiently responding to customer calls includes a workstation that has a central processing unit for interfacing the call center agent with a call distribution system. Within the workstation, there are a plurality of modules that are integrated in a way that significantly improves the call center agent's ability to provide completely responsive and efficient service to customers. The integrated modules of the present invention deliver at a single place under the control of the call center agent voice, data, and images by which the agent can completely service a customer call. ",Method and system for integrating a plurality of call center agent performance enhancement modules,"['H04M3', 'H04M2201', 'G06F3']"
72,5684870,1997-11-04," This invention permits transferring calls along with data that identifies, for example, the caller's name, pertinent account information, any transaction information acquired prior to the need to transfer the call and why the caller is being transferred between a plurality of call centers. The method and system of the invention, therefore, coordinate a voice component and a data component of a call to transfer the call from a first call center across a communication path such as a switching network to a second call center. The first call center includes the necessary network control circuitry to direct an associated switching network to transfer to the second call center the voice component of the call together with an identifier for uniquely identifying the call. The identifier may be generated using DNIS and/or ISDN protocol principles. The method and system also generate and direct a transfer screen from the first call center to the second call center. The unique identifier also attaches to the transfer screen. Using the unique identifier at the second call control center, the invention uses an automatic call distributor or similar routing device to route the voice component to an available customer service representative. The routing device then informs control circuitry of the second call center of the customer service representative's identity. Then the control circuitry sends the transfer screen to a workstation where the customer service representative may service the call with the aid of the transfer screen information. ",Method and system for transferring calls and call-related data between a plurality of call centers,"['H04M3', 'H04M2201', 'H04M7']"
73,5696811,1997-12-09," A method and system permit monitoring the performance of a call center agent or similar service representative in servicing calls in a call center by determining an interval within which to monitor the service representative's performance in responding to calls, as well as by determining a number of calls or length of time for monitoring the representative within the interval. The invention automatically and randomly determines the precise time within the interval for monitoring the agent for a pre-determined period of time or for a pre-determined number of calls and records the performance of the service representative at the automatically and randomly determined time with or without notification to the agent. The recorded performance may then be listened to and annotated by a call center supervisor. This provides the call center supervisor with an automated method and system for scheduling and monitoring the performance of call center agents or service representatives that is consistent and equitable among all monitored agents. ",Method and system for automatically monitoring the performance quality of call center service representatives,"['H04M3', 'H04M2203', 'G07C1']"
74,5715307,1998-02-03," An integrated voice and data business transaction detail reporting system for a telephone system (12), having a switch (14) for directing incoming telephone calls, a device (14) for generating information pertaining to voice of the incoming calls, a device (26) for generating business transaction data pertaining to the incoming calls, and a device (24) for correlating the voice information and business transaction data. ",Integrated voice and business transaction reporting for telephone call centers,['H04M3']
75,5757644,1998-05-26,"A voice interactive agent training system has a series of discrete voice messages stored in a digital memory. These messages are keyed to screens used in live call center operations. The call center logic used in live call center operations determines the sequence in which the screens are displayed on the agent's monitor. When transferred to an agent's terminal, the screen is identified, based upon a characteristic of the actual screen (e.g. character count in a field) so that there is no need for access to the call center operating system in order to identify which screen is displayed. A voice energy transducer responsive to the trainee's voice, causes a reproduction of appropriate discrete voice messages to respond to passages in the script which have been read by the trainee from the monitor. In one embodiment, agent inputs are compared to ""appropriate"" inputs and inappropriate inputs are fed back to the trainee concurrently with the appropriate input.",Voice interactive call center training method using actual screens and screen logic,"['G09B7', 'G09B9']"
76,5784452,1998-07-21, A telephony call center management system allows agents to be assigned and grouped into work groups. A supervisor is assigned to supervise one or more work groups. Supervisors may move agents between work groups that the supervisor oversees. A supervisor may also assign unassigned agents to a work group which the supervisor controls. The supervisor may view statistics on the performance of only those agents assigned to a work group to which the supervisor is assigned. ,Telephony call center with agent work groups,['H04M3']
77,5790650,1998-08-04," A telephone call center management system capable of simultaneously operating at least two separate telephony applications. A first group of agents is assigned to service a first telephone application. A first telephony center supervisor is assigned to at least view the operation of at least the first telephone application and at least the first group of agents. A second group of agents is assigned to service a second telephone application, while a second telephony center supervisor is assigned to at least view the operation of the second telephone application and the second group of agents. A supervisor can not view or control the agents or resources of an application not assigned to that supervisor. Supervisors may be assigned different application access levels, which control how much supervision supervisors have over the agents in applications the supervisors may access. ",Telephone call center management system which supports multi-user and separate private applications,['H04M3']
78,5802163,1998-09-01," A system for incorporating a remote home agent in a call center is accomplished by the home agent dialing a telephony switch and the telephony switch terminating the home agent's incoming call to a first station side port of the telephony switch. This action provides a continuing connection between the telephony switch and the home agent until the home agent disconnects. Incoming calls selected to go to the home agent may then be switched to the established connection. In one embodiment a physical connection is established between the first station side port to which the home agent is first connected, and a second station side port. Incoming calls selected to go to the home agent are then connected to the second station side port, which is connected to the fist station side port. ",Methods and apparatus for implementing an outbound network call center,"['H04M7', 'H04N7', 'H04M3', 'H04M2242', 'H04Q2213']"
79,5818907,1998-10-06," A method and system permit monitoring the performance of a call center agent or similar service representative in servicing calls in a call center by determining an interval within which to monitor the service representative's performance in responding to calls, as well as by determining a number of calls or length of time for monitoring the representative within the interval. The invention automatically and randomly determines the precise time within the interval for monitoring the agent for a pre-determined period of time or for a pre-determined number of calls and records the performance of the service representative at the automatically and randomly determined time with or without notification to the agent. The recorded performance may then be listened to and annotated by a call center supervisor. This provides the call center supervisor with an automated method and system for scheduling and monitoring the performance of call center agents or service representatives that is consistent and equitable among all monitored agents. ",Method and system for automatically monitoring the performance quality of call center service representatives,"['H04M3', 'H04M2203', 'G07C1']"
80,5825870,1998-10-20," A network call center hosted by a network service provider has equipment and software for providing call center services to customers of the network service provider. In a preferred embodiment internal connection points in a telephony switching apparatus at the network call center are provided and assigned to agents of customer call centers. The connection points are characterized in that a remote agent, dialing one of the connection points, is connected to the network call center until the agent intentionally disconnects. The network center tracks remote agents by the fact of connection, and provides call center services to groups of agents associated with the remote call centers. Different services may be provided to different remote call centers, and the network center tracks activities and bills the local call centers. ",Methods and apparatus for implementing a network call center,"['H04M7', 'H04N7', 'H04M3', 'H04M2242', 'H04Q2213']"
81,5841854,1998-11-24," A system and method for automatic call distribution targeting users in workgroups wherein the users utilize either wired or wireless communications tools. Users are chosen via a rule-based selection process including access to a database of user and caller-screened information. The system is compatible with available and developmental hardware platforms for call centers and mobile workers including SS7/AIN, computer telephony interfaces, direct cellular network connections, PBX and centrex-based systems. ",Wireless telephone integration system and method for call centers and workgroups,"['H04W84', 'H04M2207', 'H04M7', 'H04M3', 'H04Q2213', 'H04Q3', 'H04W4']"
82,5915012,1999-06-22," A network-level routing system has a router and a connected information server at network level, the information server linked to a plurality of CTI servers each connected by a CTI link to a telephony switch in a call center. The CTI servers are adapted to monitor and control the telephony switches, which may be of different make and manufacture, and to report switch status to the connected information server at network level on a continuous basis, transaction-by-transaction. Incoming calls are routed to the telephony switches at the call centers by the network-level router based on the continually updated information in the network-level information server. ",System and method for operating a plurality of call centers,"['H04L51', 'H04M7', 'H04N7', 'H04M3', 'H04M2242']"
83,5923745,1999-07-13," A system is provided for routing calls. The system includes a plurality of call centers coupled to a public switched telephone network which supports a caller identification feature and a transfer feature. A trunk interface, coupled via a link to the public switched telephone network, receives a call from the public switched telephone network over the link. A database stores customer profile information and call center information. A processor is coupled to the trunk interface and the database. The processor identifies a customer placing the call utilizing the caller identification feature, retrieves from the database customer profile information associated with the identified customer, and selects one of the call centers in response to the customer profile information and the call center information. The processor routes the call to the selected call center, after which the link is released utilizing the transfer feature. ",Routing calls to call centers,"['H04Q3', 'H04M3', 'H04M2242']"
84,5926538,1999-07-20," A system for routing calls has a plurality of call centers and a central controller for managing activity of the plurality of call centers, including call loading. The central controller utilizes a method for managing loading based on estimates of loading for call centers in the system for which real time loading information is not available during certain time intervals. The method involves retrieving a previous status of the call center for which real time information is not available, and using that previous status to perform and estimate of current loading for management purposes. ",Method for routing calls to call centers based on statistical modeling of call behavior,['H04M3']
85,5937051,1999-08-10," A system is provided for transferring a voice component and a data component of a service call. The system includes a first call distribution circuit which receives a service call comprising a voice component. A first voice instrument and a first contact control server are coupled to the first call distribution circuit. The first voice instrument receives the voice component. The first contact control server generates a data component related to the voice component. A first workstation, coupled to the first contact control server, receives the data component. A second call distribution circuit receives the voice component in an ISDN-supported transfer call via a first communication path from the first call distribution circuit. The ISDN-supported transfer call specifies an identifier associated with the first voice instrument. The second call distribution circuit determines the identifier from the ISDN-supported transfer call. A second voice instrument and a second contact control server are coupled to the second call distribution circuit. The second voice instrument receives the voice component. The second contact control server receives the data component via a second communication path from the first contact control server. The second contact control server associates the data component and the voice component using the identifier. A second workstation, coupled to the second contact control server, receives the data component. ",Method and system for transferring calls and call-related data between a plurality of call centers,"['H04M3', 'H04M2201', 'H04M7']"
86,5937057,1999-08-10," For use in a call center having a plurality of agent stations and an audio automatic call distribution system (ACD) for routing an incoming audio call received from a communications network to one of the plurality of agent stations, a system and method that allows the audio ACD to route an audio/video call received into the call center. The system includes: (1) an audio/video call control circuit for responding to a video portion of an incoming audio/video call from the communications network and routing an audio portion of the incoming audio/video call to the audio ACD, the audio ACD processing the audio portion as an incoming audio call and routing the audio portion to one of the plurality of agent stations and (2) a video routing circuit for determining an identity of the one of the plurality of agent stations and routing the video portion to the one of the plurality of agent stations in response thereto, both the audio portion and the video portion of the incoming audio/video call thereby routed to the one of the plurality of agent stations in response to routing control given by the audio ACD. ",Video/audio communications call center and method of operation thereof,"['H04M3', 'H04M2201', 'H04N7']"
87,5943416,1999-08-24," A call center is adapted to select calls on a preprogrammed basis for possible participation in a survey. Selected calls are transferred to an interrogation point, which may be by Interactive Voice Response, where the callers are asked if they will participate. For those callers who do not wish to participate, the calls are routed by normal routing rules. For those callers who do wish to participate, the calls are transferred according to survey routing rules, and after transaction with an agent, to a survey point where the survey is conducted. In one embodiment callers who indicate a willingness to participate, but hang up before being transferred to a survey point, are automatically called back, and then, if willing, transferred to the survey point. ",Automated survey control routine in a call center environment,['H04M3']
88,5946375,1999-08-31," A method and system permit monitoring of a call center agent or similar service representative in servicing calls in a call center by logging sessions. The logged sessions may be selectively played back based on a number of scheduling criteria, including time interval, a scheduling rule, a number of calls, a monitoring length, a random indicator, call type information, agent performance level information, call traffic information, and others. The method and system plays back those portions of the logged sessions that meet the scheduling criteria. ",Method and system for monitoring call center service representatives,"['H04M3', 'H04M2203', 'G07C1']"
89,5953406,1999-09-14," A profile editor is provided for creating and editing customer profiles. The customer profiles hold information regarding customers of a call center. Each customer profile encapsulates information regarding call flow of a call serviced by the call center on behalf of the customer. For example, a customer profile may hold product information, pricing information, shipping information, call flow information, scripts, and other information for a customer that may be used by an operator to service a call on behalf of the customer. The profile editor may also include a test operator console program to test how an operator console program that is used to assist an operator in servicing calls on behalf of a customer in the call center will use a customer profile. ",Generalized customer profile editor for call center services,['H04M3']
90,5960070,1999-09-28," During a telephone call to a call center, in a first portion of the call is placed in a call queue, and the call center apparatus generates a pre-answer signal which is interpreted by a central office apparatus to meter and bill a cost of the call to a receiving party operating the call center. When the call is connected to an interactive device, e.g. a call center agent's telephone handset, the call center generates a call answer signal which is transmitted to the central office apparatus, and interpreted as a signal to meter and bill a second portion of the call, containing interactive communication to a caller. ",Pay as you communicate call center,"['H04M15', 'H04M3']"
91,5960073,1999-09-28," A call center system supports remote agent stations through a network by establishing a data link between a computer platform at the remote agent station and a CTI-processor connected to a telephony switch at the call center, and switching incoming calls from the call center to a telephone at the remote agent station while sending data pertaining to the calls via the data link to the computer platform at the remote agent station to be displayed. Data pertaining to calls is retrieved from a data base at the call center and sent via the data link to be displayed on a video display at the remote agent station. The data can include scripts for an agent at the remote station. Call center services are supported by cooperation between software at the CTI processor and the computer platform at the remote station. In one embodiment the data link, once established, is kept open while calls continue to be switched to the remote station. In another, after an initial log in, dial up is done from the remote station upon detecting calls from the call center by a TAPI compliant device, and a reduced log in is performed at the CTI processor to save time. In a third alternative, the CTI processor, via a modem bank adapted for dialing, establishes the data connection each time a call is switched from the call center to the remote station. A plurality of remote stations may be thus supported. ",Method and apparatus for providing an interactive home agent with access to call center functionality and resources,"['H04L65', 'H04M2201', 'H04M7', 'H04L29', 'H04M3', 'H04M2203', 'H04Q2213', 'H04Q3']"
92,5978465,1999-11-02, A system is provided for allocating resources in a call center. The system identifies a record associated with a resource in the call center. The record includes an attribute associated with the operation of the resource. The system controls the operation of the resource in response to the attribute contained in the record associated with the resource. The record associated with the resource is modified in response to a resource change request. The resource change request may be generated by a host coupled to the call center or by a device contained within the call center. The modified record provides a different set of permitted activities for the associated resource. A particular record may contain multiple attributes associated with the operation of the resource. ,Method and apparatus for allocating resources in a call center,['H04M3']
93,6011844,2000-01-04," A point-of-presence (POP) call center system capable of answering, servicing, queuing and routing of calls at local points of presence to reduce communications costs and enhance operational efficiency for toll-free inbound call centers. The POP call center system includes a set of point-of-presence call center gateways distributed at points of presence close to the point of call origination that are connected by a virtual private network to premises call center gateways at business locations where the call centers reside. ",Point-of-presence call center management system,"['H04M3', 'H04M2207', 'H04M7']"
94,6044355,2000-03-28,"A method for scheduling personnel (e.g., agents) in a work environment based on personnel ""skill"" levels. The method facilitates true skills-based scheduling of agents in a telephone call center using a simulation tool to predict what fraction of scheduled agents from each ""skill group"" will be available to each ""call type"" during each time interval being scheduled. A feedback mechanism is used to adjust net staffing and skills usage data between iterations of a call handling simulation until a given schedule being tested through the simulator meets some acceptance criteria.",Skills-based scheduling for telephone call centers,"['H04M3', 'H04M2203', 'G06Q10']"
95,6049602,2000-04-11," Call center functions are provided to a plurality of remotely located customer service representatives (CSRs) via a data network, such as the Internet. Each CSR station includes a telephone and a computer. Separate log-in procedures for the computer and the telephone improve system security. Incoming calls are routed to an available CSR. A call control server provides call control pages that include a set of clickable commands (e.g., transfer, hold, conference, speed-dial buttons, and the like) and telephone digits to CSR computers that allow CSRs to remotely control telephone calls. A merchant server can also provide a merchant application page to CSR computers to allow CSRs to process customer calls. ",Virtual call center,"['H04M3', 'H04M7']"
96,6058163,2000-05-02," A method and system permit monitoring of a call center agent or similar service representative in servicing calls in a call center using a variety of scheduling criteria. Monitoring schedules for the service representatives may be based on monitoring periods having scheduling criteria, such as a time interval, a scheduling rule, a number of calls, a monitoring length, a random indicator, call type information, agent performance level information, call traffic information, and others. The method and system record a customer call if the scheduling criteria of the associated monitoring period is met. ",Method and system for monitoring call center service representatives,"['H04M3', 'H04M2203', 'G07C1']"
97,6064667,2000-05-16," A rerouting system for Internet Prootocol Telephony calls between call centers adapted for processing such calls incorporates sequential series of addresses for rerouting to any specific point, wherein calls rerouted to that point are addressed to each succeeding address in order, so no one address in the pool is used a second time until all other addresses in the pool are used at least once. This system prevents rerouted calls from being sent to the same address within a certain period of time, and the pool of addresses may be virtual addresses, allowing calls to be queued at the destination and distributed to connected workstations as agents become available. ",Apparatus and methods enhancing call routing to and within call centers,"['H04L65', 'H04M2207', 'H04L69', 'H04L67', 'H04M7', 'H04L29', 'H04M3', 'H04M2203', 'H04Q2213', 'H04Q3', 'H04L12']"
98,6064730,2000-05-16," A call center for routing of a call from a user to one of a plurality of agent stations of an organization, comprises: an interactive graphical display of information relating to the organization, the display for showing status information of at least one agent station; a device for enabling a user to select an agent station from the display; and, a device for effecting a communications link between the caller and the agent station. Further included is a device for receiving information about the organization and updating the graphical display of information. ",Customer-self routing call center,"['H04M2201', 'H04M7', 'H04M3', 'H04Q2213', 'H04Q3']"
99,6064731,2000-05-16,"In a call center (100) of a business, if it is determined (314-318 or 320) during the handling of a call involving a party who is a customer of the business that the party is at risk of being lost as a customer to the business, an identifier of the party, such as ANI, is captured (300) and stored (322) along with an ""at risk"" indication. The determination may be made either automatically by detecting (314-318) that the party terminated the call while on hold, or manually (320) by the agent handling the call or a service observer whereupon the agent or observer pressed an ""at risk"" feature button (112) on their terminal (105, 110). On a subsequent call to or from that party, the stored identifiers (380) are searched (306), and when it is determined (308) that the party is identified therein as being at risk, the call is given (310) special treatment (400-426)--a higher-than-normal level of service--and is identified (428) to the call's handler as involving an ""at risk"" customer, in an attempt to avoid loss of the party as a customer.",Arrangement for improving retention of call center's customers,"['H04Q3', 'H04M2242', 'H04M2203', 'H04M3']"
100,6118865,2000-09-12," A call center is adapted to select calls on a preprogrammed basis for possible participation in a survey. Selected calls are transferred to an interrogation point, which may be by Interactive Voice Response, where the callers are asked if they will participate. For those callers who do not wish to participate, the calls are routed by normal routing rules. For those callers who do wish to participate, the calls are transferred according to survey routing rules, and after transaction with an agent, to a survey point where the survey is conducted. In one embodiment callers who indicate a willingness to participate, but hang up before being transferred to a survey point, are automatically called back, and then, if willing, transferred to the survey point. ",Automated survey control routine in a call center environment,['H04M3']
101,6118866,2000-09-12," An emergency call load handling system in a call network has an interactive voice response (IVR) unit associated with a switching apparatus to which calls may be diverted in special conditions, such as during emergencies or disasters when calls to certain destinations may suddenly increase dramatically. Calls are diverted depending on call destination and/or pre-programmed triggers, such as a call load threshold experienced by the switching apparatus or for a specific destination. The IVR unit in some cases negotiates with callers for priority to further route calls, and may play pre-recorded messages. Low priority calls are typically disposed of to for fire stations, hospitals, government emergency handling centers and the like. In some cases rules may be amended in real time by use of data network connections between call centers and the SCPs involved. ",Emergency call load management for call centers,"['H04M3', 'H04M2203']"
102,6122364,2000-09-19," A call servicing system permits service agents to service customer calls over a data network. The call servicing system includes customer switches that direct calls to and from the customers, agent terminals for use by the service agents in servicing the customer calls, a network switch, a call translation unit, and an Automatic Call Distribution (ACD) server. The network switch receives the customer calls and transfers the calls to the call translation unit under direction of the ACD server. The call translation unit routes the calls to selected service agents. The ACD server selects the service agents to service the calls, and controls the call translation unit to forward the calls to the agent terminals associated with the selected service agents over the data network. ",Internet network call center,"['H04M3', 'Y10S379', 'H04M7']"
103,6173052,2001-01-09, A call processor in a call center provides agents with enhanced ability to handle multiple types of communications in a consistent manner. Information related to communications received by the call processor are displayed to agents in the call center in queue lists. Agents can select calls for further processing from the information presented in the queue lists. ,Blending communications in a call center,"['H04M3', 'H04M2203', 'H04Q2213']"
104,6175564,2001-01-16," An Internet Protocol Network Telephony (IPNT) system has Internet-connected managing computers at plural call centers connected to local agent stations at each call center. The managing computers are adapted to receive IPNT calls from clients at internal routing points. A router coupled to each of the managing computers at the call centers is adapted to execute routing rules to select agent stations for transferring calls received at the routing points, and the agent stations selected can be at any of the call centers involved. In one aspect the router, having selected an agent station at a call center remote from the call center where a call to be routed is first received, requests a routing point address at the remote call center, then transfers the call to that new routing point. The second call center then further routes the transferred call to the final agent station. Statistics may be used in routing, and data regarding client-callers may be routed to the same agent station for display to which calls are routed. ",Apparatus and methods for managing multiple internet protocol capable call centers,"['H04L51', 'H04M2201', 'H04N7', 'H04M7', 'H04M3', 'H04M2242', 'H04M2203', 'H04Q2213', 'H04Q3', 'G06Q10']"
105,6188673,2001-02-13," In a call center (106) associated with a World-Wide Web site whose pages (121, 122) provide a call-request capability (115), the call center receives notifications of page hits and call requests from the Web server (103) and uses these notifications to determine a historical page hits-to-call requests ratio. It then uses the ratio along with current page-hit notifications to predict a volume of calls that will soon need to be handled by the call center and staffing the call center in anticipation of the predicted call volume. The notifications are further used in conjunction with knowledge of information about the content of the Web pages to predict what agent skills will be needed to handle the calls, and to staff agent splits accordingly. ",Using web page hit statistics to anticipate call center traffic,"['H04M3', 'H04M7']"
106,6188762,2001-02-13,"A web call center system which provides automatic access to and retrieval of data from a remote or local web host by a call center operator upon receipt of a telephone call. The web call center includes a switch (PBX), a computer workstation, a telephone, a data link, a network server, computer/telephony integration (CTI) software, a network router, and application software to process the DNIS data and access the corresponding local application or web site data. In use, a call is received by the call center PBX, which routes the voice component to a telephone at a particular workstation location and the DNIS, ANI and Destination DN components, through its data link, to an external data link which, in turn, passes them to the network server wherein CTI software resides. The CTI software correlates the particular telephone to which the voice component of the telephone call was sent with the particular workstation where that telephone is located and sends the relevant DNIS, ANI and Destination DN components to that workstation. The DNIS component is processed, causing either a local application screen, with data residing on a local server or remote server, or a particular web site, with data residing on a local or remote web host, to ""pop"" (i.e., be automatically displayed) on the workstation screen.",Web call center/PSTN to TCPIP internet network,"['Y10S379', 'H04L69', 'H04L67', 'H04M2242', 'H04M3', 'H04Q2213', 'H04Q3']"
107,6212178,2001-04-03," In an enterprise-hosted multimedia telecommunications center, a client-facing interactive single-media pre-processing interface has an answering facility adapted for greeting and pre-instructing a client making a contact to the pre-processing interface, an identifying facility adapted for identifying the client through one or both of data accompanying the contact and information elicited from the client, and a discrimination facility adapted for offering the client one or more communication choices based on the client identification established by the identifying facility. In one embodiment the pre-processing interface is a WEB page. Also in a preferred embodiment, client transaction history is recorded in an enterprise data repository, including current projects, and clients are offered choices based on transaction history. In one such embodiment, live calls are reserved for clients engaged in current projects. ",Method and apparatus for selectively presenting media-options to clients of a multimedia call center,"['H04L65', 'Y02P90', 'H04L69', 'H04L67', 'H04L63', 'H04L29', 'H04M3', 'G06Q10']"
108,6229888,2001-05-08," A system and method for routing telephone calls from a network-level routing station to individual ones of a plurality of call centers having computer telephony integration (CTI) servers at each call center for monitoring and controlling telephony switches at the call centers and at the network level. A separate data network interconnects the network-level CTI server and the call-center-level CTI servers. The system also includes a stat-server at the network level for storing status information related to all of the telephony switches, and a router at the network level. Routing of incoming calls at the network to the connected call centers is successfully accomplished wherein each of the CTI servers report status of call traffic at the connected telephony switches to the network level stat-server, and the network-level router routes calls to the call centers based on the information in the network-level stat-server. The present invention provides a needed capability in the art for larger companies requiring several call centers to have uniform control of the routing of calls from the network, to, and between, the call centers. It is desirable that information and resources of all these call centers be shared, not only for accurate routing, but also, the calls received in one call center can be handled by agents in another call center. Thus, the potential of these call centers can be fully utilized. ",System and method for operating a plurality of call centers,"['H04L51', 'H04M7', 'H04N7', 'H04M3', 'H04M2242']"
109,6263049,2001-07-17," A computer-implemented method and apparatus for assisting supervisors of a call center is provided. The monitoring of agent calls is performed in a non-random fashion in order to provide the supervisor with enhanced control and flexibility over monitoring schedules. In one embodiment, a supervisor may designate one or more time, day and date schedules individually for each agent. In one embodiment, a supervisor may select whether within the time interval, every call, every other call, every third call or the like is to be recorded. Preferably recording occurs without regard to a predefined duration limit. ",Non-random call center supervisory method and apparatus,['H04M3']
110,6272216,2001-08-07," A self-routing calling center system provides the caller with a graphical display showing a plurality of resources. The resources may include voice telephone by which the caller talks to an agent, a video device, a voice mail system, an electronic mail system or a wireless electronic communication system. The information may include, for example, the background, capabilities or credentials of the human agents, and the specifications and location of hardware resources. The system allows a customer to select multiple preferred agents and/or resources, and initiate multiple calls. Subsequently, the caller can connect to the first one of the preferred agents to become available, while simultaneously dropping the other calls. The system also provides a customer with information about routing alternatives, if any of the agents can be reached at an alternate telephone. While the caller is waiting from the requested agents or resources to become available, the caller can change or delete one or more of the pending calls. ",Customer self routing call center,"['H04M2201', 'H04M3', 'H04M2203', 'H04Q2213', 'H04Q3']"
111,6289083,2001-09-11, A method and apparatus are provided for routing emergency calls received by an automatic call distributor from a plurality of agent workstation in diverse geographical locations. The method includes the steps of receiving an emergency call by the automatic call distributor from an agent workstation of the plurality of agent workstations and retrieving an identifier of a predetermined public safety entity responsible for serving the local of the workstation from a database of the automatic call distributor. The method further includes the step of forwarding the call along with an identifier of the agent workstation to the public safety entity. ,Method of identifying a location of a source of an emergency call in a call center environment,"['H04M3', 'H04M2242', 'H04M2203', 'H04Q2213', 'H04M11']"
112,6324276,2001-11-27," A point-of-presence (POP) call center system capable of answering, servicing, queuing and routing of calls at local points of presence to reduce communications costs and enhance operational efficiency for toll-free inbound call centers. The POP call center system includes a set of point-of-presence call center gateways distributed at points of presence close to the point of call origination that are connected by a virtual private network to premises call center gateways at business locations where the call centers reside. ",Point-of-presence call center management system,"['H04M3', 'H04M2207', 'H04M7']"
113,6324282,2001-11-27," The tailored assignment and delivery of training or other information to an agent in a call center or other constituent contact environment. Agent interactions are recorded by a quality monitoring component of the call center to produce an agent performance record. The agent performance record is scored against predetermined performance criteria to produce an agent score. Training materials are assigned to agents based on the agent score in skill areas corresponding to the subject matter of the particular training materials. The agent score is coded and the training materials are categorized according to the associated subject matter. If an agent score is below a predetermined threshold, then a database record is populated with the agent score and a training material identifier. The database may then be polled to determine whether the agent needs the training materials to address the associated subject matter. The assigned training materials can then be delivered to the agent over the communications network. ",Method and system for delivery of individualized training to call center agents,"['G09B5', 'H04M3', 'G06Q10']"
114,6327359,2001-12-04," A method for providing personal information which can overcome the duplication and redundancy of personal information and regional limitation, includes building a Computer Telephony Integration (CTI) information database, a personal information database, and a destination information database in a Service Control Point (SCP), to provide the personal information to CTI destination terminals in an intelligent network; transferring, by a Service Exchange Point (SSP), a calling line identification (CLI) and a dialing number (DN) to the SCP when an originating subscriber dials, retrieving a personal information and a destination information from said databases, and transferring the CLI and the retrieved personal information and destination information to the SSP; and providing, by the SSP, the CLI and the personal information to the destination terminals. ",Method for providing personal information to call centers using intelligent network,"['H04Q3', 'H04M3', 'H04Q2213']"
115,6337904,2002-01-08,"A call center is adapted to select calls on a preprogrammed basis for possible participation in a survey. Selected calls are transferred to an interrogation point, which may be by Interactive Voice Response, where the callers are asked if they will participate. For those callers who do not wish to participate, the calls are routed by normal routing rules. For those callers who do wish to participate, the calls are transferred according to survey routing rules, and after transaction with an agent, to a survey point where the survey is conducted. In one embodiment callers who indicate a willingness to participate, but hang up before being transferred to a survey point, are automatically called back, and then, if willing, transferred to the survey point.",Automated survey control routine in a call center environment,['H04M3']
116,6341128,2002-01-22,"The present invention relates to an apparatus and a method for verifying that a client is allowed to use a voice gateway, which is provided by a provider of voice gateway services. According to the invention, the client activates a link, comprising a telephone number to a B-subscriber, on a web-page on a web-server, a verification function verifying that the client is allowed to use the voice gateway, and a telephone call is set up over the voice gateway depending on said verification.",Providing call centers with voice gateways,"['H04L65', 'H04M2215', 'H04L63', 'H04L61', 'H04M7', 'H04M3', 'H04L29', 'H04Q3', 'H04L12']"
117,6347139,2002-02-12,"The system for automatically routing calls to call center agents in an agent surplus condition provides the call center administrator with an automatic agent assignment paradigm which functions to automatically increase the efficiency of assigning multiple skill agents to contacts. The presence of an agent surplus condition provides the present system with a plurality of choices in the assignment of the agent to process a presently received contact. Since the agents who staff the call center include multiple skill agents, the system must make a determination of not only which of the available agents is the best equipped to handle the present contact, but also how that assignment statistically effects the efficiency of successive assignments of agents to contacts next received, based upon the past performance of the agents and the call center. Since the traffic load presented to the call center tends to be highly variable and of content that is difficult to predict, the present system provides several automatic agent assignment paradigms that each have a statistically different impact on the performance of the call center, based upon the quality and quantity of the incoming calls.",System for automatically routing calls to call center agents in an agent surplus condition based on agent occupancy,['H04M3']
